都道府県名,死者,行方不明者,重傷,軽傷,程度不明,全壊,半壊,一部破損,床上浸水,床下浸水,公共建物,その他
,人,人,人,人,人,棟,棟,棟,棟,棟,棟,棟
北海道,,,,,,,,1,7,120,,3
秋田県,,,,,,,,1,,,,
福島県,,,,,,,,9,,,,
神奈川県,,,,,,,,,1,1,,
富山県,,,,,,,,,,2,,1
石川県,,,,,,,,,,9,,
福井県,,,,,,,,2,,12,,
長野県,,,,,,,,1,,1,,
岐阜県,1,,1,2,,,,74,357,693,,
,,,,,,,,,,,,
静岡県,,,,,,,,,,4,,
滋賀県,1,,,,,,,,,1,,
京都府,4,1,1,6,1,6,3,29,385,"1,500",,
大阪府,,,2,,,1,,9,7,25,,8
兵庫県,2,,2,8,,5,5,20,95,514,,
奈良県,,1,,,,,,1,1,20,,
和歌山県,,,,1,,,,,12,100,,
鳥取県,,,,,,,,3,8,52,,
島根県,,,,,,,,2,209,66,,2
岡山県,56,32,2,9,4,21,16,42,"4,200","5,400",,
広島県,66,21,17,15,,16,2,60,869,"1,690",,
山口県,3,,1,8,,7,2,7,171,241,,
徳島県,,,,,,,,3,3,12,,
,,,,,,,,,,,,
香川県,,,,3,,,,7,,6,,
愛媛県,26,,3,6,2,21,8,7,844,777,,
高知県,2,1,,1,,1,2,9,101,342,,
福岡県,4,,3,14,,5,3,124,632,"2,067",2,7
佐賀県,1,1,1,4,,,3,2,29,149,,1
長崎県,,,,10,,1,1,4,4,17,1,
熊本県,,,1,,,,2,2,3,59,2,4
大分県,,,1,3,,2,1,3,,12,,1
宮崎県,,,1,,,,,,,,,
鹿児島県,2,,,1,,1,,2,,3,,1
沖縄県,,,,5,,,,,,,,
合 計,168,57,36,96,7,87,48,424,"7,938","13,895",5,28
,,,,,,,,,,,,
